date,ppm
20.18-12-04,434
20.18-12-04,431
20.18-12-04,427
20.18-12-04,438
20.18-12-04,438
20.18-12-04,437
20.18-12-04,427
20.18-12-04,431
20.18-12-04,427
20.18-12-04,432
20.18-12-04,433
20.18-12-04,435
20.18-12-04,433
20.18-12-04,442
20.18-12-04,436
20.18-12-04,442
20.18-12-04,441
20.18-12-04,433
20.18-12-04,423
20.18-12-04,423
20.18-12-04,421
20.18-12-04,418
20.18-12-04,420
20.18-12-04,419
20.18-12-04,415
20.18-12-04,411
20.18-12-04,415
20.18-12-04,414
20.18-12-04,413
20.18-12-04,410
20.18-12-04,411
20.18-12-04,413
20.18-12-04,413
20.18-12-04,418
20.18-12-04,423
20.18-12-04,428
20.18-12-04,435
20.18-12-04,432
20.18-12-04,444
20.18-12-04,452
20.18-12-04,437
20.18-12-04,444
20.18-12-04,450
20.18-12-04,458
20.18-12-04,447
20.18-12-04,454
20.18-12-04,450
20.18-12-04,450
20.18-12-04,462
20.18-12-04,483
20.18-12-04,497
20.18-12-04,498
20.18-12-04,498
20.18-12-04,499
20.18-12-04,513
20.18-12-04,522
20.18-12-04,522
20.18-12-04,505
20.18-12-04,491
20.18-12-04,478
20.18-12-04,482
20.18-12-04,480
20.18-12-04,468
20.18-12-04,457
20.18-12-04,465
20.18-12-04,470
20.18-12-04,454
20.18-12-04,433
20.18-12-04,431
20.18-12-04,438
20.18-12-04,426
20.18-12-04,426
20.18-12-04,429
20.18-12-04,428
20.18-12-04,433
20.18-12-04,428
20.18-12-04,434
20.18-12-04,430
20.18-12-04,429
20.18-12-04,426
20.18-12-04,424
20.18-12-04,427
20.18-12-04,423
20.18-12-04,419
20.18-12-04,423
20.18-12-04,421
20.18-12-04,429
20.18-12-04,427
20.18-12-04,426
20.18-12-05,429
20.18-12-05,423
20.18-12-05,417
20.18-12-05,419
20.18-12-05,421
20.18-12-05,419
20.18-12-05,418
20.18-12-05,417
20.18-12-05,421
20.18-12-05,420
20.18-12-05,421
20.18-12-05,420
20.18-12-05,420
20.18-12-05,424
20.18-12-05,424
20.18-12-05,424
20.18-12-05,425
20.18-12-05,422
20.18-12-05,429
20.18-12-05,428
20.18-12-05,429
20.18-12-05,428
20.18-12-05,426
20.18-12-05,423
20.18-12-05,419
20.18-12-05,417
20.18-12-05,421
20.18-12-05,423
20.18-12-05,422
20.18-12-05,423
20.18-12-05,424
20.18-12-05,424
20.18-12-05,423
20.18-12-05,422
20.18-12-05,422
20.18-12-05,420
20.18-12-05,422
20.18-12-05,420
20.18-12-05,422
20.18-12-05,422
20.18-12-05,425
20.18-12-05,420
20.18-12-05,426
20.18-12-05,422
20.18-12-05,422
20.18-12-05,424
20.18-12-05,425
20.18-12-05,422
20.18-12-05,422
20.18-12-05,422
20.18-12-05,422
20.18-12-05,420
20.18-12-05,422
20.18-12-05,420
20.18-12-05,419
20.18-12-05,418
20.18-12-05,419
20.18-12-05,420
20.18-12-05,419
20.18-12-05,417
20.18-12-05,417
20.18-12-05,416
20.18-12-05,416
20.18-12-05,416
20.18-12-05,417
20.18-12-05,418
20.18-12-05,416
20.18-12-05,418
20.18-12-05,415
20.18-12-05,416
20.18-12-05,417
20.18-12-05,417
20.18-12-05,418
20.18-12-05,416
20.18-12-05,415
20.18-12-05,418
20.18-12-05,417
20.18-12-05,420
20.18-12-05,421
20.18-12-05,420
20.18-12-05,419
20.18-12-05,415
20.18-12-05,417
20.18-12-05,418
20.18-12-05,418
20.18-12-05,418
20.18-12-05,418
20.18-12-05,418
20.18-12-05,418
20.18-12-05,418
20.18-12-05,418
20.18-12-05,417
20.18-12-05,416
20.18-12-05,417
20.18-12-05,417
20.18-12-05,417
20.18-12-05,417
20.18-12-05,418
20.18-12-05,418
20.18-12-05,417
20.18-12-05,417
20.18-12-05,415
20.18-12-05,417
20.18-12-05,418
20.18-12-05,420
20.18-12-05,422
20.18-12-05,419
20.18-12-05,419
20.18-12-05,420
20.18-12-05,419
20.18-12-05,418
20.18-12-05,424
20.18-12-05,424
20.18-12-05,426
20.18-12-05,424
20.18-12-05,424
20.18-12-05,423
20.18-12-05,423
20.18-12-05,420
20.18-12-05,423
20.18-12-05,420
20.18-12-05,424
20.18-12-06,423
20.18-12-06,422
20.18-12-06,422
20.18-12-06,423
20.18-12-06,422
20.18-12-06,421
20.18-12-06,421
20.18-12-06,422
20.18-12-06,424
20.18-12-06,424
20.18-12-06,423
20.18-12-06,424
20.18-12-06,424
20.18-12-06,424
20.18-12-06,423
20.18-12-06,421
20.18-12-06,422
20.18-12-06,420
20.18-12-06,421
20.18-12-06,420
20.18-12-06,420
20.18-12-06,425
20.18-12-06,422
20.18-12-06,421
20.18-12-06,422
20.18-12-06,422
20.18-12-06,423
20.18-12-06,422
20.18-12-06,420
20.18-12-06,420
20.18-12-06,424
20.18-12-06,427
20.18-12-06,437
20.18-12-06,437
20.18-12-06,429
20.18-12-06,431
20.18-12-06,435
20.18-12-06,434
20.18-12-06,437
20.18-12-06,432
20.18-12-06,428
20.18-12-06,434
20.18-12-06,427
20.18-12-06,424
20.18-12-06,423
20.18-12-06,422
20.18-12-06,422
20.18-12-06,420
20.18-12-06,421
20.18-12-06,420
20.18-12-06,419
20.18-12-06,419
20.18-12-06,419
20.18-12-06,418
20.18-12-06,417
20.18-12-06,417
20.18-12-06,418
20.18-12-06,417
20.18-12-06,419
20.18-12-06,417
20.18-12-06,417
20.18-12-06,417
20.18-12-06,417
20.18-12-06,416
20.18-12-06,418
20.18-12-06,418
20.18-12-06,418
20.18-12-06,419
20.18-12-06,419
20.18-12-06,416
20.18-12-06,417
20.18-12-06,419
20.18-12-06,418
20.18-12-06,418
20.18-12-06,418
20.18-12-06,417
20.18-12-06,419
20.18-12-06,414
20.18-12-06,419
20.18-12-06,417
20.18-12-06,416
20.18-12-06,418
20.18-12-06,419
20.18-12-06,417
20.18-12-06,418
20.18-12-06,419
20.18-12-06,417
20.18-12-06,417
20.18-12-06,418
20.18-12-06,417
20.18-12-06,417
20.18-12-06,416
20.18-12-06,416
20.18-12-06,416
20.18-12-06,417
20.18-12-06,418
20.18-12-06,415
20.18-12-06,415
20.18-12-06,415
20.18-12-06,417
20.18-12-06,416
20.18-12-06,417
20.18-12-07,415
20.18-12-07,415
20.18-12-07,416
20.18-12-07,416
20.18-12-07,415
20.18-12-07,415
20.18-12-07,414
20.18-12-07,414
20.18-12-07,416
20.18-12-07,416
20.18-12-07,417
20.18-12-07,415
20.18-12-07,416
20.18-12-07,416
20.18-12-07,414
20.18-12-07,415
20.18-12-07,414
20.18-12-07,414
20.18-12-07,413
20.18-12-07,414
20.18-12-07,414
20.18-12-07,412
20.18-12-07,411
20.18-12-07,413
20.18-12-07,414
20.18-12-07,412
20.18-12-07,411
20.18-12-07,412
20.18-12-07,413
20.18-12-07,413
20.18-12-07,411
20.18-12-07,412
20.18-12-07,411
20.18-12-07,410
20.18-12-07,412
20.18-12-07,411
20.18-12-07,412
20.18-12-07,412
20.18-12-07,413
20.18-12-07,405
20.18-12-07,403
20.18-12-07,401
20.18-12-07,403
20.18-12-07,404
20.18-12-07,405
20.18-12-07,404
20.18-12-07,405
20.18-12-07,403
20.18-12-07,405
20.18-12-07,406
20.18-12-07,404
20.18-12-07,403
20.18-12-07,406
20.18-12-07,405
20.18-12-07,405
20.18-12-07,405
20.18-12-07,405
20.18-12-07,405
20.18-12-07,404
20.18-12-07,404
20.18-12-07,404
20.18-12-07,405
20.18-12-07,405
20.18-12-07,404
20.18-12-07,406
20.18-12-07,411
20.18-12-07,413
20.18-12-07,409
20.18-12-07,407
20.18-12-07,407
20.18-12-07,409
20.18-12-07,408
20.18-12-07,411
20.18-12-07,410
20.18-12-07,409
20.18-12-07,407
20.18-12-07,407
20.18-12-07,406
20.18-12-07,405
20.18-12-07,403
20.18-12-07,402
20.18-12-07,402
20.18-12-07,403
20.18-12-07,403
20.18-12-07,401
20.18-12-07,401
20.18-12-07,401
20.18-12-07,403
20.18-12-07,403
20.18-12-07,402
20.18-12-07,402
20.18-12-07,402
20.18-12-07,401
20.18-12-07,405
20.18-12-07,405
20.18-12-07,404
20.18-12-07,404
20.18-12-07,412
20.18-12-07,410
20.18-12-07,409
20.18-12-07,408
20.18-12-07,410
20.18-12-07,409
20.18-12-07,404
20.18-12-07,405
20.18-12-07,404
20.18-12-07,402
20.18-12-07,404
20.18-12-07,402
20.18-12-07,400
20.18-12-07,401
20.18-12-07,400
20.18-12-07,399
20.18-12-07,403
20.18-12-07,403
20.18-12-07,405
20.18-12-07,402
20.18-12-07,402
20.18-12-07,402
20.18-12-07,402
20.18-12-07,399
20.18-12-07,400
20.18-12-07,401
20.18-12-07,401
20.18-12-07,399
20.18-12-07,401
20.18-12-07,400
20.18-12-07,401
20.18-12-07,400
20.18-12-07,399
20.18-12-07,400
20.18-12-07,399
20.18-12-07,399
20.18-12-07,398
20.18-12-07,398
20.18-12-07,399
20.18-12-07,397
20.18-12-07,398
20.18-12-07,398
20.18-12-07,399
20.18-12-07,400
20.18-12-07,399
20.18-12-07,398
20.18-12-07,397
20.18-12-08,397
20.18-12-08,395
20.18-12-08,397
20.18-12-08,396
20.18-12-08,398
20.18-12-08,397
20.18-12-08,397
20.18-12-08,395
20.18-12-08,395
20.18-12-08,397
20.18-12-08,397
20.18-12-08,397
20.18-12-08,397
20.18-12-08,395
20.18-12-08,397
20.18-12-08,397
20.18-12-08,397
20.18-12-08,397
20.18-12-08,396
20.18-12-08,396
20.18-12-08,395
20.18-12-08,396
20.18-12-08,396
20.18-12-08,396
20.18-12-08,396
20.18-12-08,397
20.18-12-08,397
20.18-12-08,395
20.18-12-08,396
20.18-12-08,397
20.18-12-08,396
20.18-12-08,396
20.18-12-08,396
20.18-12-08,398
20.18-12-08,397
20.18-12-08,398
20.18-12-08,398
20.18-12-08,397
20.18-12-08,400
20.18-12-08,398
20.18-12-08,400
20.18-12-08,399
20.18-12-08,400
20.18-12-08,402
20.18-12-08,402
20.18-12-08,402
20.18-12-08,402
20.18-12-08,402
20.18-12-08,403
20.18-12-08,405
20.18-12-08,404
20.18-12-08,405
20.18-12-08,403
20.18-12-08,402
20.18-12-08,400
20.18-12-08,400
20.18-12-08,400
20.18-12-08,399
20.18-12-08,401
20.18-12-08,400
20.18-12-08,399
20.18-12-08,399
20.18-12-08,402
20.18-12-08,401
20.18-12-08,399
20.18-12-08,397
20.18-12-08,397
20.18-12-08,396
20.18-12-08,397
20.18-12-08,396
20.18-12-08,397
20.18-12-08,398
20.18-12-08,398
20.18-12-08,398
20.18-12-08,397
20.18-12-08,396
20.18-12-08,397
20.18-12-08,396
20.18-12-08,400
20.18-12-08,400
20.18-12-08,399
20.18-12-08,398
20.18-12-08,399
20.18-12-08,399
20.18-12-08,396
20.18-12-08,397
20.18-12-08,397
20.18-12-08,397
20.18-12-08,397
20.18-12-08,397
20.18-12-08,398
20.18-12-08,396
20.18-12-08,396
20.18-12-08,395
20.18-12-08,399
20.18-12-08,399
20.18-12-09,399
20.18-12-09,401
20.18-12-09,398
20.18-12-09,398
20.18-12-09,399
20.18-12-09,396
20.18-12-09,397
20.18-12-09,397
20.18-12-09,397
20.18-12-09,396
20.18-12-09,395
20.18-12-09,396
20.18-12-09,395
20.18-12-09,396
20.18-12-09,395
20.18-12-09,395
20.18-12-09,396
20.18-12-09,394
20.18-12-09,395
20.18-12-09,393
20.18-12-09,394
20.18-12-09,393
20.18-12-09,394
20.18-12-09,393
20.18-12-09,393
20.18-12-09,395
20.18-12-09,393
20.18-12-09,393
20.18-12-09,393
20.18-12-09,396
20.18-12-09,396
20.18-12-09,396
20.18-12-09,395
20.18-12-09,395
20.18-12-09,395
20.18-12-09,397
20.18-12-09,394
20.18-12-09,397
20.18-12-09,397
20.18-12-09,397
20.18-12-09,397
20.18-12-09,397
20.18-12-09,394
20.18-12-09,398
20.18-12-09,396
20.18-12-09,396
20.18-12-09,397
20.18-12-09,398
20.18-12-09,398
20.18-12-09,398
20.18-12-09,399
20.18-12-09,398
20.18-12-09,397
20.18-12-09,399
20.18-12-09,397
20.18-12-09,399
20.18-12-09,397
20.18-12-09,397
20.18-12-09,398
20.18-12-09,397
20.18-12-09,399
20.18-12-09,398
20.18-12-09,399
20.18-12-09,399
20.18-12-09,400
20.18-12-09,397
20.18-12-09,399
20.18-12-09,398
20.18-12-09,399
20.18-12-09,398
20.18-12-09,400
20.18-12-09,399
20.18-12-09,399
20.18-12-09,399
20.18-12-09,399
20.18-12-09,399
20.18-12-09,399
20.18-12-09,401
20.18-12-09,401
20.18-12-09,400
20.18-12-09,403
20.18-12-09,402
20.18-12-09,402
20.18-12-09,401
20.18-12-09,401
20.18-12-09,400
20.18-12-09,401
20.18-12-09,402
20.18-12-09,401
20.18-12-09,401
20.18-12-09,401
20.18-12-09,403
20.18-12-09,402
20.18-12-09,402
20.18-12-09,406
20.18-12-09,408
20.18-12-09,406
20.18-12-09,405
20.18-12-09,406
20.18-12-09,407
20.18-12-09,406
20.18-12-09,406
20.18-12-09,409
20.18-12-09,409
20.18-12-09,411
20.18-12-09,411
20.18-12-09,412
20.18-12-09,413
20.18-12-09,411
20.18-12-09,411
20.18-12-09,412
20.18-12-09,415
20.18-12-09,415
20.18-12-09,413
20.18-12-09,411
20.18-12-09,412
20.18-12-09,414
20.18-12-09,417
20.18-12-09,415
20.18-12-09,416
20.18-12-09,418
20.18-12-09,420
20.18-12-09,422
20.18-12-09,420
20.18-12-09,420
20.18-12-09,417
20.18-12-09,419
20.18-12-09,417
20.18-12-09,417
20.18-12-09,417
20.18-12-09,417
20.18-12-09,418
20.18-12-09,418
20.18-12-09,421
20.18-12-09,423
20.18-12-09,421
20.18-12-09,420
20.18-12-09,420
20.18-12-09,423
20.18-12-09,422
20.18-12-09,422
20.18-12-09,420
20.18-12-09,419
20.18-12-09,417
20.18-12-10,417
20.18-12-10,414
20.18-12-10,414
20.18-12-10,415
20.18-12-10,414
20.18-12-10,413
20.18-12-10,413
20.18-12-10,415
20.18-12-10,415
20.18-12-10,414
20.18-12-10,414
20.18-12-10,413
20.18-12-10,412
20.18-12-10,415
20.18-12-10,415
20.18-12-10,412
20.18-12-10,411
20.18-12-10,411
20.18-12-10,410
20.18-12-10,410
20.18-12-10,409
20.18-12-10,410
20.18-12-10,409
20.18-12-10,409
20.18-12-10,411
20.18-12-10,411
20.18-12-10,411
20.18-12-10,411
20.18-12-10,412
20.18-12-10,412
20.18-12-10,411
20.18-12-10,411
20.18-12-10,414
20.18-12-10,412
20.18-12-10,410
20.18-12-10,412
20.18-12-10,415
20.18-12-10,415
20.18-12-10,417
20.18-12-10,416
20.18-12-10,418
20.18-12-10,418
20.18-12-10,419
20.18-12-10,419
20.18-12-10,419
20.18-12-10,421
20.18-12-10,421
20.18-12-10,423
20.18-12-10,425
20.18-12-10,421
20.18-12-10,422
20.18-12-10,421
20.18-12-10,420
20.18-12-10,420
20.18-12-10,419
20.18-12-10,419
20.18-12-10,418
20.18-12-10,418
20.18-12-10,416
20.18-12-10,419
20.18-12-10,417
20.18-12-10,415
20.18-12-10,416
20.18-12-10,416
20.18-12-10,417
20.18-12-10,415
20.18-12-10,416
20.18-12-10,416
20.18-12-10,416
20.18-12-10,415
20.18-12-10,413
20.18-12-10,415
20.18-12-10,414
20.18-12-10,414
20.18-12-10,412
20.18-12-10,414
20.18-12-10,414
20.18-12-10,412
20.18-12-10,413
20.18-12-10,414
20.18-12-10,414
20.18-12-10,412
20.18-12-10,413
20.18-12-10,414
20.18-12-10,416
20.18-12-10,414
20.18-12-10,415
20.18-12-10,415
20.18-12-10,415
20.18-12-10,417
20.18-12-10,416
20.18-12-10,417
20.18-12-10,416
20.18-12-10,417
20.18-12-10,419
20.18-12-10,420
20.18-12-10,421
20.18-12-10,422
20.18-12-10,421
20.18-12-10,421
20.18-12-10,423
20.18-12-10,425
20.18-12-10,422
20.18-12-10,425
20.18-12-10,427
20.18-12-10,432
20.18-12-10,430
20.18-12-10,430
20.18-12-10,428
20.18-12-10,428
20.18-12-10,426
20.18-12-10,426
20.18-12-10,430
20.18-12-10,431
20.18-12-10,432
20.18-12-10,431
20.18-12-10,428
20.18-12-10,425
20.18-12-10,426
20.18-12-10,425
20.18-12-10,425
20.18-12-10,426
20.18-12-10,424
20.18-12-10,423
20.18-12-10,424
20.18-12-10,423
20.18-12-10,425
20.18-12-10,422
20.18-12-10,422
20.18-12-10,426
20.18-12-10,432
20.18-12-10,438
20.18-12-10,443
20.18-12-10,446
20.18-12-10,446
20.18-12-10,439
20.18-12-10,448
20.18-12-10,450
20.18-12-10,446
20.18-12-10,453
20.18-12-10,456
20.18-12-10,457
20.18-12-10,449
20.18-12-10,446
20.18-12-11,451
20.18-12-11,453
20.18-12-11,453
20.18-12-11,452
20.18-12-11,450
20.18-12-11,449
20.18-12-11,473
20.18-12-11,466
20.18-12-11,450
20.18-12-11,438
20.18-12-11,438
20.18-12-11,438
20.18-12-11,439
20.18-12-11,443
20.18-12-11,451
20.18-12-11,454
20.18-12-11,455
20.18-12-11,453
20.18-12-11,450
20.18-12-11,451
20.18-12-11,449
20.18-12-11,454
20.18-12-11,459
20.18-12-11,457
20.18-12-11,450
20.18-12-11,449
20.18-12-11,446
20.18-12-11,451
20.18-12-11,449
20.18-12-11,453
20.18-12-11,457
20.18-12-11,465
20.18-12-11,470
20.18-12-11,470
20.18-12-11,473
20.18-12-11,474
20.18-12-11,490
20.18-12-11,479
20.18-12-11,460
20.18-12-11,458
20.18-12-11,462
20.18-12-11,466
20.18-12-11,464
20.18-12-11,468
20.18-12-11,470
20.18-12-11,465
20.18-12-11,464
20.18-12-11,467
20.18-12-11,473
20.18-12-11,478
20.18-12-11,487
20.18-12-11,489
20.18-12-11,496
20.18-12-11,483
20.18-12-11,479
20.18-12-11,476
20.18-12-11,478
20.18-12-11,473
20.18-12-11,469
20.18-12-11,463
20.18-12-11,464
20.18-12-11,454
20.18-12-11,451
20.18-12-11,453
20.18-12-11,454
20.18-12-11,448
20.18-12-11,437
20.18-12-11,430
20.18-12-11,430
20.18-12-11,431
20.18-12-11,433
20.18-12-11,433
20.18-12-11,429
