day,co2_ppm
03,411
03,411
03,414
03,414
03,415
03,412
03,412
03,413
03,414
03,413
03,414
03,420
03,418
03,417
03,415
03,415
03,416
03,416
03,417
03,418
03,415
03,417
03,412
03,413
03,413
03,412
03,413
03,409
03,413
03,416
03,415
03,421
03,425
03,436
03,435
03,442
03,443
03,437
03,419
03,417
03,420
03,423
04,425
04,427
04,429
04,431
04,431
04,434
04,426
04,430
04,426
04,422
04,419
04,417
04,417
04,416
04,417
04,416
04,416
04,417
04,413
04,416
04,416
04,421
04,417
04,419
04,418
04,422
04,419
04,418
04,417
04,416
04,418
04,419
04,420
04,424
04,425
04,425
04,420
04,424
04,421
04,436
04,449
04,442
04,439
04,435
04,437
04,436
04,439
04,445
04,444
04,444
04,454
04,439
04,432
04,434
04,431
04,427
04,438
04,438
04,437
04,427
04,431
04,427
04,432
04,433
04,435
04,433
04,442
04,436
04,442
04,441
04,433
04,423
04,423
04,421
04,418
04,420
04,419
04,415
04,411
04,415
04,414
04,413
04,410
04,411
04,413
04,413
04,418
04,423
04,428
04,435
04,432
04,444
04,452
04,437
04,444
04,450
04,458
04,447
04,454
04,450
04,450
04,462
04,483
04,497
04,498
04,498
04,499
04,513
04,522
04,522
04,505
04,491
04,478
04,482
04,480
04,468
04,457
04,465
04,470
04,454
04,433
04,431
04,438
04,426
04,426
04,429
04,428
04,433
04,428
04,434
04,430
04,429
04,426
04,424
04,427
04,423
04,419
04,423
04,421
04,429
04,427
04,426
04,425
04,427
04,429
04,431
04,431
04,434
04,426
04,430
04,426
04,422
04,419
04,417
04,417
04,416
04,417
04,416
04,416
04,417
04,413
04,416
04,416
04,421
04,417
04,419
04,418
04,422
04,419
04,418
04,417
04,416
04,418
04,419
04,420
04,424
04,425
04,425
04,420
04,424
04,421
04,436
04,449
04,442
04,439
04,435
04,437
04,436
04,439
04,445
04,444
04,444
04,454
04,439
04,432
04,434
04,431
04,427
04,438
04,438
04,437
04,427
04,431
04,427
04,432
04,433
04,435
04,433
04,442
04,436
04,442
04,441
04,433
04,423
04,423
04,421
04,418
04,420
04,419
04,415
04,411
04,415
04,414
04,413
04,410
04,411
04,413
04,413
04,418
04,423
04,428
04,435
04,432
04,444
04,452
04,437
04,444
04,450
04,458
04,447
04,454
04,450
04,450
04,462
04,483
04,497
04,498
04,498
04,499
04,513
04,522
04,522
04,505
04,491
04,478
04,482
04,480
04,468
04,457
04,465
04,470
04,454
04,433
04,431
04,438
04,426
04,426
04,429
04,428
04,433
04,428
04,434
04,430
04,429
04,426
04,424
04,427
04,423
04,419
04,423
04,421
04,429
04,427
04,426
05,429
05,423
05,417
05,419
05,421
05,419
05,418
05,417
05,421
05,420
05,421
05,420
05,420
05,424
05,424
05,424
05,425
05,422
05,429
05,428
05,429
05,428
05,426
05,423
05,419
05,417
05,421
05,423
05,422
05,423
05,424
05,424
05,423
05,422
05,422
05,420
05,422
05,420
05,422
05,422
05,425
05,420
05,426
05,422
05,422
05,424
05,425
05,422
05,422
05,422
05,422
05,420
05,422
05,420
05,419
05,418
05,419
05,420
05,419
05,417
05,417
05,416
05,416
05,416
05,417
05,418
05,416
05,418
05,415
05,416
05,417
05,417
05,418
05,416
05,415
05,418
05,417
05,420
05,421
05,420
05,419
05,415
05,417
05,418
05,418
05,418
05,418
05,418
05,418
05,418
05,418
05,417
05,416
05,417
05,417
05,417
05,417
05,418
05,418
05,417
05,417
05,415
05,417
05,418
05,420
05,422
05,419
05,419
05,420
05,419
05,418
05,424
05,424
05,426
05,424
05,424
05,423
05,423
05,420
05,423
05,420
05,424
05,429
05,423
05,417
05,419
05,421
05,419
05,418
05,417
