day,co2_ppm
Thu,473
Thu,473
Thu,489
Thu,481
Thu,477
Thu,478
Thu,482
Thu,483
Thu,486
Thu,477
Thu,478
Thu,480
Thu,481
Thu,482
Thu,477
Thu,475
Thu,468
Thu,469
Thu,475
Thu,471
Thu,475
Thu,476
Thu,477
Thu,474
Thu,469
Thu,468
Thu,459
Thu,458
Thu,458
Thu,462
Thu,462
Thu,459
Thu,457
Thu,460
Thu,463
Thu,458
Thu,461
Thu,459
Thu,461
Thu,461
Thu,463
Thu,466
Thu,470
Thu,470
Thu,465
Thu,461
Thu,467
Thu,476
Thu,474
Thu,480
Thu,489
Thu,494
Thu,491
Thu,488
Thu,481
Thu,478
Thu,480
Thu,488
Thu,496
Thu,507
Thu,512
Thu,496
Thu,489
Thu,490
Thu,479
Thu,472
Thu,478
Thu,472
Thu,480
Thu,495
Thu,481
Thu,476
Thu,477
Thu,492
Thu,504
Thu,511
Thu,515
Thu,519
Thu,500
Thu,506
Thu,491
Thu,484
Thu,488
Thu,494
Thu,503
Thu,516
Thu,537
Thu,545
Thu,544
Thu,549
Thu,551
Thu,528
Thu,526
Thu,527
Thu,507
Thu,490
Thu,483
Thu,459
Thu,456
Thu,453
Thu,454
Thu,450
Thu,453
Thu,454
Thu,454
Thu,448
Thu,446
Thu,457
Thu,457
Thu,448
Thu,446
Thu,445
Thu,450
Thu,449
Thu,449
Thu,450
Thu,452
Thu,454
Thu,451
Thu,456
Thu,453
Thu,456
Thu,457
Thu,452
Thu,460
Thu,473
Thu,469
Thu,468
Thu,462
Thu,468
Thu,468
Thu,460
Thu,462
Thu,466
Thu,465
Thu,466
Thu,469
Thu,472
Thu,468
Thu,473
Thu,475
Thu,473
Thu,471
Thu,470
Thu,473
Thu,473
Thu,489
Thu,481
Thu,477
Thu,478
Thu,482
Thu,483
Thu,486
Thu,477
Thu,478
Thu,480
Thu,481
Thu,482
Thu,477
Thu,475
Thu,468
Thu,469
Thu,475
Thu,471
Thu,475
Thu,476
Thu,477
Thu,474
Thu,469
Thu,468
Thu,459
Thu,458
Thu,458
Thu,462
Thu,462
Thu,459
Thu,457
Thu,460
Thu,463
Thu,458
Thu,461
Thu,459
Thu,461
Thu,461
Thu,463
Thu,466
Thu,470
Thu,470
Thu,465
Thu,461
Thu,467
Thu,476
Thu,474
Thu,480
Thu,489
Thu,494
Thu,491
Thu,488
Thu,481
Thu,478
Thu,480
Thu,488
Thu,496
Thu,507
Thu,512
Thu,496
Thu,489
Thu,490
Thu,479
Thu,472
Thu,478
Thu,472
Thu,480
Thu,495
Thu,481
Thu,476
Thu,477
Thu,492
Thu,504
Thu,511
Thu,515
Thu,519
Thu,500
Thu,506
Thu,491
Thu,484
Thu,488
Thu,494
Thu,503
Thu,516
Thu,537
Thu,545
Thu,544
Thu,549
Thu,551
Thu,528
Thu,526
Thu,527
Thu,507
Thu,490
Thu,483
Fri,476
Fri,481
Fri,485
Fri,486
Fri,490
Fri,489
Fri,476
Fri,468
Fri,474
